ICensus year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Location
2015,1,611394,611394,545-557 Flinders Street ,Melbourne (CBD),Nandos Northbank,4511,Cafes and Restaurants,Seats - Indoor,88,"(-37.8209939689, 144.956518458)"
2015,1,108843,108843,2-92 Rebecca Walk,Melbourne (CBD),Gangnam Style No1,4512,Takeaway Food Services,Seats - Indoor,4,"(-37.8213142043, 144.956396892)"
2015,1,611395,611395,561-581 Flinders Street ,Melbourne (CBD),Michel's Pattiserie Flinders Street,4512,Takeaway Food Services,Seats - Outdoor,12,"(-37.821131263, 144.955864933)"
2015,1,611395,611395,561-581 Flinders Street ,Melbourne (CBD),Michel's Pattiserie Flinders Street,4512,Takeaway Food Services,Seats - Indoor,10,"(-37.821131263, 144.955864933)"
2015,1,611394,611394,545-557 Flinders Street ,Melbourne (CBD),Nandos Northbank,4511,Cafes and Restaurants,Seats - Outdoor,6,"(-37.8209939689, 144.956518458)"
2015,1,611394,611394,545-557 Flinders Street ,Melbourne (CBD),Food Sutra,4511,Cafes and Restaurants,Seats - Indoor,67,"(-37.8209939689, 144.956518458)"
2015,1,611394,611394,545-557 Flinders Street ,Melbourne (CBD),Eat Pizza Flinders,4512,Takeaway Food Services,Seats - Outdoor,4,"(-37.8209939689, 144.956518458)"
2015,1,611394,611394,545-557 Flinders Street ,Melbourne (CBD),Eat Pizza Flinders,4512,Takeaway Food Services,Seats - Indoor,6,"(-37.8209939689, 144.956518458)"
2015,1,611393,611393,507-541 Flinders Street ,Melbourne (CBD),Northbanc Cafe,4511,Cafes and Restaurants,Seats - Indoor,50,"(-37.82088351, 144.957229905)"
2015,1,108843,108843,2-92 Rebecca Walk,Melbourne (CBD),Vista Fiyme,4511,Cafes and Restaurants,Seats - Outdoor,14,"(-37.8213142043, 144.956396892)"
2015,1,108843,108843,2-92 Rebecca Walk,Melbourne (CBD),Vista Fiyme,4511,Cafes and Restaurants,Seats - Indoor,32,"(-37.8213142043, 144.956396892)"
2015,1,108843,108843,2-92 Rebecca Walk,Melbourne (CBD),Gangnam Style No1,4512,Takeaway Food Services,Seats - Outdoor,16,"(-37.8213142043, 144.956396892)"
2015,1,611394,611394,545-557 Flinders Street ,Melbourne (CBD),Tokyo Maki One,4511,Cafes and Restaurants,Seats - Indoor,44,"(-37.8209939689, 144.956518458)"
2015,2,111467,103973, King Street ,Melbourne (CBD),Sea Life Melbourne Aquarium,8921,Zoological and Botanical Gardens Operation,Seats - Indoor,164,"(-37.8204727985, 144.958989544)"
2015,2,111467,103973, King Street ,Melbourne (CBD),Sea Life Melbourne Aquarium,8921,Zoological and Botanical Gardens Operation,Seats - Outdoor,34,"(-37.8204727985, 144.958989544)"
2015,4,103972,103972,363-397 Flinders Street ,Melbourne (CBD),T-Roy Browns,4511,Cafes and Restaurants,Seats - Outdoor,20,"(-37.8195316288, 144.962286802)"
2015,4,104034,104034,207-361 Flinders Street ,Melbourne (CBD),La Stazione,4511,Cafes and Restaurants,Seats - Indoor,26,"(-37.8186610515, 144.96546591)"
2015,4,104034,104034,207-361 Flinders Street ,Melbourne (CBD),La Stazione,4511,Cafes and Restaurants,Seats - Outdoor,8,"(-37.8186610515, 144.96546591)"
2015,4,104034,104034,207-361 Flinders Street ,Melbourne (CBD),Boost Juice,4129,Other Specialised Food Retailing,Seats - Outdoor,4,"(-37.8186610515, 144.96546591)"
2015,4,104034,104034,207-361 Flinders Street ,Melbourne (CBD),Clocks At Flinders Street Station,9209,Other Gambling Activities,Seats - Indoor,78,"(-37.8186610515, 144.96546591)"
2015,6,578322,573333,2 Swanston Street ,Melbourne (CBD),Cafe Chinotto,4511,Cafes and Restaurants,Seats - Indoor,40,"(-37.8178446527, 144.969917495)"
2015,6,578319,573333,2 Swanston Street ,Melbourne (CBD),Chocolate Buddha,4511,Cafes and Restaurants,Seats - Outdoor,180,"(-37.8178446527, 144.969917495)"
2015,6,578325,573333,2 Swanston Street ,Melbourne (CBD),Il Pom Italian,4511,Cafes and Restaurants,Seats - Outdoor,110,"(-37.8178446527, 144.969917495)"
2015,6,578325,573333,2 Swanston Street ,Melbourne (CBD),Il Pom Italian,4511,Cafes and Restaurants,Seats - Indoor,70,"(-37.8178446527, 144.969917495)"
2015,6,578325,573333,2 Swanston Street ,Melbourne (CBD),Feddish,4511,Cafes and Restaurants,Seats - Outdoor,250,"(-37.8178446527, 144.969917495)"
2015,6,578325,573333,2 Swanston Street ,Melbourne (CBD),Feddish,4511,Cafes and Restaurants,Seats - Indoor,120,"(-37.8178446527, 144.969917495)"
2015,6,578325,573333,2 Swanston Street ,Melbourne (CBD),Arintji,4511,Cafes and Restaurants,Seats - Outdoor,100,"(-37.8178446527, 144.969917495)"
2015,6,578325,573333,2 Swanston Street ,Melbourne (CBD),Arintji,4511,Cafes and Restaurants,Seats - Indoor,75,"(-37.8178446527, 144.969917495)"
2015,6,578324,573333,2 Swanston Street ,Melbourne (CBD),Transit Cocktail Lounge,4520,"Pubs, Taverns and Bars",Seats - Indoor,40,"(-37.8178446527, 144.969917495)"
2015,6,578324,573333,2 Swanston Street ,Melbourne (CBD),Taxi Kitchen,4511,Cafes and Restaurants,Seats - Indoor,200,"(-37.8178446527, 144.969917495)"
2015,6,578323,573333,2 Swanston Street ,Melbourne (CBD),Time Out Cafe,4511,Cafes and Restaurants,Seats - Outdoor,140,"(-37.8178446527, 144.969917495)"
2015,6,578323,573333,2 Swanston Street ,Melbourne (CBD),Time Out Cafe,4511,Cafes and Restaurants,Seats - Indoor,60,"(-37.8178446527, 144.969917495)"
2015,6,578322,573333,2 Swanston Street ,Melbourne (CBD),Cafe Chinotto,4511,Cafes and Restaurants,Seats - Outdoor,180,"(-37.8178446527, 144.969917495)"
2015,6,578319,573333,2 Swanston Street ,Melbourne (CBD),Chocolate Buddha,4511,Cafes and Restaurants,Seats - Indoor,93,"(-37.8178446527, 144.969917495)"
2015,6,110655,110655,1-19 Princes Walk,Melbourne (CBD),Pilgrim,4511,Cafes and Restaurants,Seats - Indoor,40,"(-37.8186591949, 144.968934931)"
2015,6,110655,110655,1-19 Princes Walk,Melbourne (CBD),Pilgrim,4511,Cafes and Restaurants,Seats - Outdoor,130,"(-37.8186591949, 144.968934931)"
2015,6,110655,110655,1-19 Princes Walk,Melbourne (CBD),Riverland Bar,4511,Cafes and Restaurants,Seats - Indoor,35,"(-37.8186591949, 144.968934931)"
2015,6,578319,573333,2 Swanston Street ,Melbourne (CBD),Optic Kitchen and Bar,4511,Cafes and Restaurants,Seats - Outdoor,66,"(-37.8178446527, 144.969917495)"
2015,6,110655,110655,1-19 Princes Walk,Melbourne (CBD),Riverland Bar,4511,Cafes and Restaurants,Seats - Outdoor,220,"(-37.8186591949, 144.968934931)"
2015,6,578322,573333,2 Swanston Street ,Melbourne (CBD),Bokchoy Tang,4511,Cafes and Restaurants,Seats - Outdoor,36,"(-37.8178446527, 144.969917495)"
2015,6,578319,573333,2 Swanston Street ,Melbourne (CBD),Optic Kitchen and Bar,4511,Cafes and Restaurants,Seats - Indoor,120,"(-37.8178446527, 144.969917495)"
2015,6,578320,573333,2 Swanston Street ,Melbourne (CBD),Crossbar Cafe,4511,Cafes and Restaurants,Seats - Indoor,50,"(-37.8178446527, 144.969917495)"
2015,6,578320,573333,2 Swanston Street ,Melbourne (CBD),In a Rush Espressor Fed Square,4511,Cafes and Restaurants,Seats - Indoor,60,"(-37.8178446527, 144.969917495)"
2015,6,578321,573333,2 Swanston Street ,Melbourne (CBD),Beer De Luxe,4511,Cafes and Restaurants,Seats - Indoor,200,"(-37.8178446527, 144.969917495)"
2015,6,578321,573333,2 Swanston Street ,Melbourne (CBD),Beer De Luxe,4511,Cafes and Restaurants,Seats - Outdoor,400,"(-37.8178446527, 144.969917495)"
2015,6,578322,573333,2 Swanston Street ,Melbourne (CBD),Bokchoy Tang,4511,Cafes and Restaurants,Seats - Indoor,150,"(-37.8178446527, 144.969917495)"
2015,11,103993,103993,508-514 Flinders Street ,Melbourne (CBD),Waterside Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,250,"(-37.8201659954, 144.957150507)"
2015,11,559405,559405,547-555 Flinders Lane ,Melbourne (CBD),Rex Tremendae,4512,Takeaway Food Services,Seats - Outdoor,14,"(-37.8200195216, 144.955837945)"
2015,11,559405,559405,547-555 Flinders Lane ,Melbourne (CBD),Rex Tremendae,4512,Takeaway Food Services,Seats - Indoor,4,"(-37.8200195216, 144.955837945)"
2015,11,559405,559405,547-555 Flinders Lane ,Melbourne (CBD),Cherry & Twigs,4511,Cafes and Restaurants,Seats - Indoor,24,"(-37.8200195216, 144.955837945)"
2015,11,108972,108972,10-22 Spencer Street,Melbourne (CBD),Pensione Hotel Melbourne,4400,Accommodation,Seats - Indoor,40,"(-37.820506774, 144.955242123)"
2015,11,103987,103987,550-554 Flinders Street ,Melbourne (CBD),Cafe Keyif,4511,Cafes and Restaurants,Seats - Indoor,50,"(-37.8203648011, 144.955979053)"
2015,11,108971,108971,561-585 Flinders Lane ,Melbourne (CBD),Holiday Inn On Flinders Melbourne,4400,Accommodation,Seats - Indoor,70,"(-37.8202048163, 144.955152428)"
2015,11,103957,103957,517-537 Flinders Lane ,Melbourne (CBD),Altius Coffee Brewers,4512,Takeaway Food Services,Seats - Indoor,6,"(-37.8198848362, 144.956601684)"
2015,11,103957,103957,517-537 Flinders Lane ,Melbourne (CBD),Grain Store,4511,Cafes and Restaurants,Seats - Indoor,75,"(-37.8198848362, 144.956601684)"
2015,11,103957,103957,517-537 Flinders Lane ,Melbourne (CBD),Five & Dime Bagel,4129,Other Specialised Food Retailing,Seats - Indoor,14,"(-37.8198848362, 144.956601684)"
2015,11,103957,103957,517-537 Flinders Lane ,Melbourne (CBD),Degani Bakery Cafe,4512,Takeaway Food Services,Seats - Outdoor,18,"(-37.8198848362, 144.956601684)"
2015,11,103957,103957,517-537 Flinders Lane ,Melbourne (CBD),Degani Bakery Cafe,4512,Takeaway Food Services,Seats - Indoor,2,"(-37.8198848362, 144.956601684)"
2015,11,103957,103957,517-537 Flinders Lane ,Melbourne (CBD),Altius Coffee Brewers,4512,Takeaway Food Services,Seats - Outdoor,4,"(-37.8198848362, 144.956601684)"
2015,11,103984,103984,566-580 Flinders Street ,Melbourne (CBD),Five66,4511,Cafes and Restaurants,Seats - Indoor,55,"(-37.8207203389, 144.955346461)"
2015,12,103999,103999,1-13 William Street,Melbourne (CBD),Williams Bar Cafe,4511,Cafes and Restaurants,Seats - Outdoor,16,"(-37.8194328533, 144.959510564)"
2015,12,105399,105399,26-32 King Street ,Melbourne (CBD),Gami Chicken & Beer,4511,Cafes and Restaurants,Seats - Indoor,80,"(-37.8195293437, 144.957465953)"
2015,12,105399,105399,26-32 King Street ,Melbourne (CBD),Queen's Kebabs,4512,Takeaway Food Services,Seats - Indoor,22,"(-37.8195293437, 144.957465953)"
2015,12,105402,105402,8-10 King Street ,Melbourne (CBD),Monkey Bar Noodles & Sushi,4511,Cafes and Restaurants,Seats - Indoor,30,"(-37.8199276173, 144.957637844)"
2015,12,110091,110091,15-33 William Street,Melbourne (CBD),Hotel Food and Drink,4511,Cafes and Restaurants,Seats - Indoor,110,"(-37.8192157039, 144.959187559)"
2015,12,110091,110091,15-33 William Street,Melbourne (CBD),Hudson's Coffee,4511,Cafes and Restaurants,Seats - Indoor,26,"(-37.8192157039, 144.959187559)"
2015,12,103999,103999,1-13 William Street,Melbourne (CBD),Williams Bar Cafe,4511,Cafes and Restaurants,Seats - Indoor,100,"(-37.8194328533, 144.959510564)"
2015,12,110091,110091,15-33 William Street,Melbourne (CBD),Satay Bar,4512,Takeaway Food Services,Seats - Indoor,10,"(-37.8192157039, 144.959187559)"
2015,12,110091,110091,15-33 William Street,Melbourne (CBD),Hudson's Coffee,4511,Cafes and Restaurants,Seats - Outdoor,10,"(-37.8192157039, 144.959187559)"
2015,12,110091,110091,15-33 William Street,Melbourne (CBD),Satay Bar,4512,Takeaway Food Services,Seats - Outdoor,18,"(-37.8192157039, 144.959187559)"
2015,12,110091,110091,15-33 William Street,Melbourne (CBD),S M XL,4511,Cafes and Restaurants,Seats - Indoor,35,"(-37.8192157039, 144.959187559)"
2015,12,103995,103995,492-500 Flinders Street ,Melbourne (CBD),Gurkha's Express,4511,Cafes and Restaurants,Seats - Indoor,60,"(-37.8199959933, 144.957828807)"
2015,12,110091,110091,15-33 William Street,Melbourne (CBD),S M XL,4511,Cafes and Restaurants,Seats - Outdoor,24,"(-37.8192157039, 144.959187559)"
2015,12,103955,103955,475-485 Flinders Lane ,Melbourne (CBD),Four 8 Five Cafe Bar & Dining,4511,Cafes and Restaurants,Seats - Indoor,100,"(-37.8193689148, 144.958100062)"
2015,12,103955,103955,475-485 Flinders Lane ,Melbourne (CBD),Four 8 Five Cafe Bar & Dining,4511,Cafes and Restaurants,Seats - Outdoor,8,"(-37.8193689148, 144.958100062)"
2015,12,103998,103998,452-470 Flinders Street ,Melbourne (CBD),Shuji Sushi,4511,Cafes and Restaurants,Seats - Outdoor,30,"(-37.81946849, 144.958601159)"
2015,12,103956,103956,487-497 Flinders Lane ,Melbourne (CBD),B3 Cafe,4511,Cafes and Restaurants,Seats - Outdoor,6,"(-37.819379929, 144.957712022)"
2015,12,103996,103996,490 Flinders Street ,Melbourne (CBD),Kasskass,4511,Cafes and Restaurants,Seats - Indoor,40,"(-37.8199515462, 144.957991216)"
2015,12,103997,103997,472-482 Flinders Street ,Melbourne (CBD),Riverside Deli & Coffee House,4511,Cafes and Restaurants,Seats - Indoor,50,"(-37.8197418352, 144.958272131)"
2015,12,103997,103997,472-482 Flinders Street ,Melbourne (CBD),Riverside Deli & Coffee House,4511,Cafes and Restaurants,Seats - Outdoor,12,"(-37.8197418352, 144.958272131)"
2015,12,103998,103998,452-470 Flinders Street ,Melbourne (CBD),Laneway Cafe,4511,Cafes and Restaurants,Seats - Indoor,72,"(-37.81946849, 144.958601159)"
2015,12,103998,103998,452-470 Flinders Street ,Melbourne (CBD),Laneway Cafe,4511,Cafes and Restaurants,Seats - Outdoor,32,"(-37.81946849, 144.958601159)"
2015,12,103998,103998,452-470 Flinders Street ,Melbourne (CBD),Shuji Sushi,4511,Cafes and Restaurants,Seats - Indoor,56,"(-37.81946849, 144.958601159)"
2015,12,103956,103956,487-497 Flinders Lane ,Melbourne (CBD),B3 Cafe,4511,Cafes and Restaurants,Seats - Indoor,28,"(-37.819379929, 144.957712022)"
2015,13,106435,106435,21-31 Market Street ,Melbourne (CBD),The Trust,4511,Cafes and Restaurants,Seats - Indoor,220,"(-37.8186458463, 144.960420586)"
2015,13,110151,110151,22-38 William Street,Melbourne (CBD),Shiraaz at CBD Fine Indian Cuisine,4511,Cafes and Restaurants,Seats - Indoor,90,"(-37.8187765423, 144.959965294)"
2015,13,108060,108060,19-35 Queen Street,Melbourne (CBD),Luca's Cafe,4511,Cafes and Restaurants,Seats - Indoor,36,"(-37.8182274901, 144.961779921)"
2015,13,106438,106438,14-40 Market Street ,Melbourne (CBD),KCL (Koury's Coffee Lounge) ,4511,Cafes and Restaurants,Seats - Indoor,43,"(-37.8184879642, 144.961133932)"
2015,13,103954,103954,381-387 Flinders Lane ,Melbourne (CBD),Threefold,4511,Cafes and Restaurants,Seats - Indoor,30,"(-37.8182509371, 144.96138904)"
2015,13,103954,103954,381-387 Flinders Lane ,Melbourne (CBD),Cafenatics on Flinders,4511,Cafes and Restaurants,Seats - Outdoor,40,"(-37.8182509371, 144.96138904)"
2015,13,103954,103954,381-387 Flinders Lane ,Melbourne (CBD),Cafenatics on Flinders,4511,Cafes and Restaurants,Seats - Indoor,39,"(-37.8182509371, 144.96138904)"
2015,13,104002,104002,376-388 Flinders Street ,Melbourne (CBD),Iseya Icecream Bar and Cafe,4511,Cafes and Restaurants,Seats - Indoor,38,"(-37.8188462581, 144.961529931)"
2015,13,106438,106438,14-40 Market Street ,Melbourne (CBD),KCL (Koury's Coffee Lounge) ,4511,Cafes and Restaurants,Seats - Outdoor,25,"(-37.8184879642, 144.961133932)"
2015,14,108115,108115,20-26 Queen Street,Melbourne (CBD),Maha Bar & Grill,4511,Cafes and Restaurants,Seats - Indoor,80,"(-37.8181927539, 144.962529863)"
2015,14,103952,103952,349-351 Flinders Lane ,Melbourne (CBD),Bluestone Restaurant / Bluestone Downstairs,4511,Cafes and Restaurants,Seats - Indoor,140,"(-37.8178989485, 144.962854894)"
2015,14,103953,103953,353-355 Flinders Lane ,Melbourne (CBD),Cafe Del Corso,4511,Cafes and Restaurants,Seats - Indoor,53,"(-37.8178601133, 144.962744505)"
2015,14,104003,104003,2-8 Queen Street,Melbourne (CBD),Queen's Corner Cafe,4511,Cafes and Restaurants,Seats - Indoor,30,"(-37.8185871601, 144.962709793)"
2015,14,104006,104006,318-332 Flinders Street ,Melbourne (CBD),Straits Cafe,4511,Cafes and Restaurants,Seats - Indoor,85,"(-37.8182001001, 144.963576022)"
2015,14,104007,104007,300-316 Flinders Street ,Melbourne (CBD),Ambrosia Protein,4511,Cafes and Restaurants,Seats - Indoor,80,"(-37.8180537911, 144.964041007)"
2015,14,104008,104008,292-298 Flinders Street ,Melbourne (CBD),Kimchi Tray,4511,Cafes and Restaurants,Seats - Indoor,36,"(-37.8180748913, 144.964353715)"
2015,14,104008,104008,292-298 Flinders Street ,Melbourne (CBD),Vita Juice Energy For Life,4512,Takeaway Food Services,Seats - Indoor,8,"(-37.8180748913, 144.964353715)"
2015,14,108114,108114,28-38 Queen Street,Melbourne (CBD),Cafe 34,4511,Cafes and Restaurants,Seats - Outdoor,16,"(-37.8179897281, 144.962437489)"
2015,14,108115,108115,20-26 Queen Street,Melbourne (CBD),Maha Bar & Grill,4511,Cafes and Restaurants,Seats - Outdoor,20,"(-37.8181927539, 144.962529863)"
2015,14,108116,108116,18 Queen Street,Melbourne (CBD),Equal 9 Cafe,4511,Cafes and Restaurants,Seats - Indoor,44,"(-37.8182959929, 144.962577278)"
